rows_before,dropped_invalid,dropped_bad_timestamp,dropped_duplicates,rows_after,columns_after,filename
1048575,3824,5,225625,819121,72,02-14-2018.csv
1048575,8027,0,2416,1038132,72,02-15-2018.csv
1048575,1,0,147586,900988,72,02-16-2018.csv
7948748,59453,0,22440,7866855,72,02-20-2018.csv
1048575,0,0,17557,1031018,72,02-21-2018.csv
1048575,5610,9,3272,1039684,72,02-22-2018.csv
1048575,5708,0,2612,1040255,72,02-23-2018.csv
613104,4074,0,138575,470455,72,02-28-2018.csv
331125,1859,0,73,329193,72,03-01-2018.csv
1048575,4050,0,5453,1039072,72,03-02-2018.csv
